date,home_team,away_team,home_goals,away_goals,season,venue
2024-06-01,Cavalry FC,HFX Wanderers FC,2,0,2024,ATCO Field
2024-06-02,Vancouver FC,Valour FC,1,3,2024,Willoughby Community Park
2024-06-02,York United FC,Pacific FC,0,0,2024,York Lions Stadium
2024-06-08,Forge FC,Pacific FC,2,1,2024,Tim Hortons Field
2024-06-15,Cavalry FC,York United FC,1,0,2024,ATCO Field
2024-06-22,Valour FC,Atletico Ottawa,2,2,2024,IG Field
2024-06-29,HFX Wanderers FC,Pacific FC,1,2,2024,Wanderers Grounds
2024-07-06,Forge FC,HFX Wanderers FC,3,0,2024,Tim Hortons Field
2024-07-13,Cavalry FC,Vancouver FC,4,0,2024,ATCO Field
2024-07-20,Pacific FC,Atletico Ottawa,2,1,2024,Starlight Stadium
2024-07-27,York United FC,Forge FC,1,2,2024,York Lions Stadium
2025-04-05,Atlético Ottawa,HFX Wanderers,2,2,2025,TD Place Stadium
2025-04-05,Forge,Cavalry,1,0,2025,Hamilton Stadium
2025-04-06,Pacific,Valour,2,0,2025,Starlight Stadium
2025-04-06,Vancouver FC,Inter Toronto,0,2,2025,Willoughby Community Park at the Langley Events Centre
2025-04-12,Pacific,Forge,0,2,2025,Starlight Stadium
2025-04-13,Inter Toronto,HFX Wanderers,1,2,2025,York Lions Stadium
2025-04-13,Vancouver FC,Atlético Ottawa,1,4,2025,Willoughby Community Park at the Langley Events Centre
2025-04-18,Cavalry,Vancouver FC,1,1,2025,ATCO Field
2025-04-19,Atlético Ottawa,Inter Toronto,3,2,2025,TD Place Stadium
2025-04-19,HFX Wanderers,Pacific,3,1,2025,Wanderers Grounds
2025-04-19,Forge,Valour,1,1,2025,Hamilton Stadium
2025-04-26,Valour,HFX Wanderers,0,1,2025,Princess Auto Stadium
2025-04-26,Cavalry,Atlético Ottawa,1,3,2025,ATCO Field
2025-04-27,Inter Toronto,Forge,2,2,2025,York Lions Stadium
2025-04-27,Vancouver FC,Pacific,1,1,2025,Willoughby Community Park at the Langley Events Centre
2025-05-03,Inter Toronto,Cavalry,1,2,2025,York Lions Stadium
2025-05-03,Atlético Ottawa,Pacific,3,1,2025,TD Place Stadium
2025-05-03,HFX Wanderers,Forge,0,0,2025,Wanderers Grounds
2025-05-03,Valour,Vancouver FC,1,3,2025,Princess Auto Stadium
2025-05-10,Atlético Ottawa,Valour,5,2,2025,TD Place Stadium
2025-05-10,HFX Wanderers,Cavalry,0,3,2025,Wanderers Grounds
2025-05-11,Pacific,Inter Toronto,2,1,2025,Starlight Stadium
2025-05-13,Forge,Atlético Ottawa,2,2,2025,Hamilton Stadium
2025-05-17,Valour,Inter Toronto,2,1,2025,Princess Auto Stadium
2025-05-17,Cavalry,Pacific,4,0,2025,ATCO Field
2025-05-18,Vancouver FC,HFX Wanderers,0,2,2025,Willoughby Community Park at the Langley Events Centre
2025-05-24,Pacific,Forge,0,1,2025,Starlight Stadium
2025-05-24,HFX Wanderers,Atlético Ottawa,2,0,2025,Wanderers Grounds
2025-05-25,Cavalry,Valour,4,0,2025,ATCO Field
2025-05-25,Inter Toronto,Vancouver FC,1,0,2025,York Lions Stadium
2025-05-31,Vancouver FC,Atlético Ottawa,2,2,2025,Willoughby Community Park at the Langley Events Centre
2025-05-31,Forge,Cavalry,1,1,2025,Hamilton Stadium
2025-05-31,Inter Toronto,HFX Wanderers,2,0,2025,Telus Stadium at Laval University
2025-06-01,Valour,Pacific,0,0,2025,Princess Auto Stadium
2025-06-04,Valour,Vancouver FC,3,1,2025,Princess Auto Stadium
2025-06-07,Pacific,Atlético Ottawa,0,1,2025,Starlight Stadium
2025-06-08,Forge,HFX Wanderers,2,1,2025,Hamilton Stadium
2025-06-08,Cavalry,Inter Toronto,2,1,2025,ATCO Field
2025-06-14,HFX Wanderers,Cavalry,1,1,2025,Wanderers Grounds
2025-06-14,Pacific,Inter Toronto,1,3,2025,Starlight Stadium
2025-06-15,Vancouver FC,Forge,0,2,2025,Willoughby Community Park at the Langley Events Centre
2025-06-15,Atlético Ottawa,Valour,3,0,2025,TD Place Stadium
2025-06-21,HFX Wanderers,Vancouver FC,1,0,2025,Wanderers Grounds
2025-06-22,Cavalry,Pacific,1,0,2025,ATCO Field
2025-06-22,Inter Toronto,Atlético Ottawa,0,0,2025,York Lions Stadium
2025-06-22,Valour,Forge,0,5,2025,Princess Auto Stadium
2025-06-28,Pacific,Vancouver FC,4,4,2025,Starlight Stadium
2025-06-28,Cavalry,Atlético Ottawa,0,2,2025,ATCO Field
2025-06-29,Forge,Inter Toronto,2,2,2025,Hamilton Stadium
2025-07-01,HFX Wanderers,Valour,3,1,2025,Wanderers Grounds
2025-07-05,Forge,Vancouver FC,2,1,2025,Hamilton Stadium
2025-07-12,Atlético Ottawa,Forge,1,1,2025,TD Place Stadium
2025-07-12,Pacific,HFX Wanderers,3,2,2025,Starlight Stadium
2025-07-13,Inter Toronto,Valour,3,2,2025,York Lions Stadium
2025-07-14,Vancouver FC,Cavalry,0,0,2025,Willoughby Community Park at the Langley Events Centre
2025-07-18,Atlético Ottawa,HFX Wanderers,2,0,2025,TD Place Stadium
2025-07-18,Forge,Pacific,2,0,2025,Hamilton Stadium
2025-07-19,Inter Toronto,Vancouver FC,4,0,2025,York Lions Stadium
2025-07-20,Valour,Cavalry,1,2,2025,Princess Auto Stadium
2025-07-25,HFX Wanderers,Forge,1,2,2025,Wanderers Grounds
2025-07-26,Vancouver FC,Valour,1,3,2025,Willoughby Community Park at the Langley Events Centre
2025-07-26,Cavalry,Inter Toronto,0,1,2025,ATCO Field
2025-07-27,Pacific,Atlético Ottawa,0,2,2025,Starlight Stadium
2025-07-30,Valour,Cavalry,2,1,2025,Princess Auto Stadium
2025-08-02,Forge,Valour,5,0,2025,Hamilton Stadium
2025-08-03,Atlético Ottawa,Inter Toronto,0,0,2025,TD Place Stadium
2025-08-04,HFX Wanderers,Vancouver FC,1,2,2025,Wanderers Grounds
2025-08-04,Pacific,Cavalry,1,0,2025,Starlight Stadium
2025-08-09,Inter Toronto,Forge,1,2,2025,York Lions Stadium
2025-08-09,Cavalry,HFX Wanderers,0,0,2025,ATCO Field
2025-08-10,Valour,Atlético Ottawa,1,2,2025,Princess Auto Stadium
2025-08-10,Vancouver FC,Pacific,2,3,2025,Willoughby Community Park at the Langley Events Centre
2025-08-16,Pacific,HFX Wanderers,2,2,2025,Starlight Stadium
2025-08-17,Valour,Inter Toronto,0,0,2025,Princess Auto Stadium
2025-08-17,Forge,Atlético Ottawa,2,0,2025,Hamilton Stadium
2025-08-17,Cavalry,Vancouver FC,5,4,2025,ATCO Field
2025-08-22,HFX Wanderers,Valour,4,1,2025,Wanderers Grounds
2025-08-23,Vancouver FC,Forge,0,1,2025,Willoughby Community Park at the Langley Events Centre
2025-08-23,Atlético Ottawa,Cavalry,2,2,2025,TD Place Stadium
2025-08-24,Inter Toronto,Pacific,5,1,2025,York Lions Stadium
2025-08-30,Cavalry,Forge,4,1,2025,ATCO Field
2025-08-30,Atlético Ottawa,Vancouver FC,3,1,2025,TD Place Stadium
2025-08-31,Valour,Pacific,1,1,2025,Princess Auto Stadium
2025-09-01,HFX Wanderers,Inter Toronto,4,0,2025,Wanderers Grounds
2025-09-05,Inter Toronto,Cavalry,3,1,2025,York Lions Stadium
2025-09-06,Forge,HFX Wanderers,1,0,2025,Hamilton Stadium
2025-09-06,Atlético Ottawa,Pacific,2,0,2025,TD Place Stadium
2025-09-06,Vancouver FC,Valour,2,5,2025,Willoughby Community Park at the Langley Events Centre
2025-09-12,Valour,Forge,2,1,2025,Princess Auto Stadium
2025-09-13,Cavalry,HFX Wanderers,3,1,2025,ATCO Field
2025-09-13,Pacific,Vancouver FC,1,1,2025,Royal Athletic Park
2025-09-14,Inter Toronto,Atlético Ottawa,2,2,2025,York Lions Stadium
2025-09-20,HFX Wanderers,Pacific,3,0,2025,Wanderers Grounds
2025-09-20,Cavalry,Valour,3,0,2025,ATCO Field
2025-09-21,Atlético Ottawa,Forge,1,1,2025,TD Place Stadium
2025-09-21,Vancouver FC,Inter Toronto,2,1,2025,Willoughby Community Park at the Langley Events Centre
2025-09-27,Atlético Ottawa,Cavalry,3,0,2025,TD Place Stadium
2025-09-27,Forge,Pacific,4,0,2025,Hamilton Stadium
2025-09-28,Inter Toronto,Valour,1,0,2025,York Lions Stadium
2025-09-28,Vancouver FC,HFX Wanderers,3,1,2025,Willoughby Community Park at the Langley Events Centre
2025-10-04,Forge,Vancouver FC,1,1,2025,Hamilton Stadium
2025-10-04,HFX Wanderers,Inter Toronto,1,1,2025,Wanderers Grounds
2025-10-05,Valour,Atlético Ottawa,3,3,2025,Princess Auto Stadium
2025-10-05,Pacific,Cavalry,3,3,2025,Starlight Stadium
2025-10-09,Inter Toronto,Pacific,2,2,2025,York Lions Stadium
2025-10-11,Cavalry,Forge,1,1,2025,ATCO Field
2025-10-11,Valour,HFX Wanderers,0,3,2025,Princess Auto Stadium
2025-10-12,Atlético Ottawa,Vancouver FC,0,0,2025,TD Place Stadium
2025-10-18,Pacific,Valour,1,4,2025,Starlight Stadium
2025-10-18,Vancouver FC,Cavalry,2,2,2025,Willoughby Community Park at the Langley Events Centre
2025-10-18,Forge,Inter Toronto,3,0,2025,Hamilton Stadium
2025-10-18,HFX Wanderers,Atlético Ottawa,0,1,2025,Wanderers Grounds
2025-10-22,HFX Wanderers,Inter Toronto,2,2,2025,Wanderers Grounds
2025-10-26,Forge,Atlético Ottawa,1,2,2025,Hamilton Stadium
2025-10-26,Cavalry,Inter Toronto,4,1,2025,ATCO Field
2025-11-02,Forge,Cavalry,0,1,2025,Hamilton Stadium
2025-11-09,Atlético Ottawa,Cavalry,2,1,2025,TD Place Stadium
